Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:06:53.227,-0.01,-0.06,1.0,2.14,-3.72,0.79
worker 1,2026-07-27 13:06:53.227,-0.01,-0.06,1.0,1.46,-3.48,0.55
worker 1,2026-07-27 13:06:53.284,-0.01,-0.06,0.99,1.28,-2.26,0.92
worker 1,2026-07-27 13:06:53.285,-0.01,-0.06,0.99,1.28,-2.26,0.92
worker 1,2026-07-27 13:06:53.286,-0.02,-0.06,0.99,1.53,-1.4,1.34
worker 1,2026-07-27 13:06:53.344,-0.02,-0.06,0.99,1.53,-1.4,1.34
worker 1,2026-07-27 13:06:53.344,-0.01,-0.05,0.99,1.59,-1.89,1.16
worker 1,2026-07-27 13:06:53.345,-0.01,-0.05,0.99,1.59,-1.89,1.16
worker 1,2026-07-27 13:06:53.405,-0.01,-0.06,0.99,0.92,-3.17,0.73
worker 1,2026-07-27 13:06:53.411,-0.01,-0.06,0.99,0.92,-3.17,0.73
worker 1,2026-07-27 13:06:53.464,-0.0,-0.06,1.0,-0.37,-3.85,0.67
worker 1,2026-07-27 13:06:53.465,-0.0,-0.06,1.0,-0.37,-3.85,0.67
worker 1,2026-07-27 13:06:53.466,0.0,-0.06,1.0,-0.55,-3.36,0.98
worker 1,2026-07-27 13:06:53.528,-0.0,-0.05,0.99,0.06,-2.62,1.28
worker 1,2026-07-27 13:06:53.529,-0.0,-0.05,0.99,0.18,-2.75,1.16
worker 1,2026-07-27 13:06:53.584,-0.0,-0.05,0.99,0.18,-2.75,1.16
worker 1,2026-07-27 13:06:53.585,0.0,-0.06,1.0,0.31,-2.93,0.79
worker 1,2026-07-27 13:06:53.646,0.01,-0.06,1.0,1.04,-2.26,0.43
worker 1,2026-07-27 13:06:53.706,0.01,-0.05,0.99,1.83,-1.53,0.43
worker 1,2026-07-27 13:06:53.706,0.01,-0.05,0.99,2.44,-0.98,0.49
worker 1,2026-07-27 13:06:53.707,0.0,-0.05,0.99,2.44,-0.98,0.49
worker 1,2026-07-27 13:06:53.770,0.0,-0.05,0.99,2.75,-0.98,0.37
worker 1,2026-07-27 13:06:53.771,0.0,-0.05,0.99,2.75,-0.98,0.37
worker 1,2026-07-27 13:06:53.772,0.01,-0.05,0.99,2.26,-1.53,0.12
worker 1,2026-07-27 13:06:53.824,0.01,-0.05,0.99,2.26,-1.53,0.12
worker 1,2026-07-27 13:06:53.825,0.01,-0.05,0.99,1.53,-1.59,0.0
worker 1,2026-07-27 13:06:53.826,0.01,-0.05,0.99,1.53,-1.59,0.0
worker 1,2026-07-27 13:06:53.885,0.01,-0.05,0.99,1.22,-1.34,0.31
worker 1,2026-07-27 13:06:53.947,0.01,-0.04,1.0,0.92,-1.28,0.49
worker 1,2026-07-27 13:06:53.949,0.01,-0.04,1.0,0.61,-1.1,0.43
worker 1,2026-07-27 13:06:53.949,0.01,-0.04,0.99,0.61,-1.1,0.43
worker 1,2026-07-27 13:06:54.003,0.01,-0.04,0.99,0.49,-0.98,0.31
worker 1,2026-07-27 13:06:54.004,0.01,-0.04,0.99,0.49,-0.98,0.31
worker 1,2026-07-27 13:06:54.064,0.01,-0.04,1.0,0.31,-1.46,0.18
worker 1,2026-07-27 13:06:54.065,0.01,-0.04,1.0,0.31,-1.46,0.18
worker 1,2026-07-27 13:06:54.065,0.01,-0.04,1.0,0.31,-1.34,0.18
worker 1,2026-07-27 13:06:54.123,0.01,-0.04,1.0,0.31,-1.34,0.18
worker 1,2026-07-27 13:06:54.124,0.01,-0.04,1.0,0.24,-0.79,0.12
